"ID_LOG","TIMESTAMP_DECISAO","COMANDO_BOMBA","FONTE_DECISAO","CONDICAO_METEO_DESC","UMIDADE_AR_API","TEMPERATURA_API","ID_TEMPO_API"
25,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
26,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
27,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
28,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
29,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
30,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
31,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
32,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
33,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
34,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
35,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
36,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
37,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
38,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
39,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
40,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
41,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
42,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
43,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
44,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
45,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
46,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
47,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
48,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
49,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
50,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
51,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
52,23/05/25,"LIGAR_BOMBA","API OpenWeather","Algumas nuvens",57,26,4,"801"
111,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
112,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
113,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
114,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
115,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
116,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
117,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
118,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
119,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
120,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
121,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
122,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
123,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
124,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
125,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
126,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
127,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
128,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
129,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
130,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
131,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
132,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
133,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
134,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
135,23/05/25,"LIGAR_BOMBA","API OpenWeather","Céu limpo",68,23,4,"800"
